Name,State,Republican_Democrat,House_Senate,Years_in_office ,Joined_Twitter,Twitter_ID,,Tweets
Ed Markey,Massachusetts,D,H,1973-2013,9-Feb,ALREADY IN THE SENATE @SenMarkey,,12.2k
Mike Capuano,Massachusetts,D,H,1999-present,16-Jun,@RepMikeCapuano,,
Stephen Lynch,Massachusetts,D,H,2001-present,11-Jun,@RepStephenLynch,,
Bill Delahunt,Massachusetts,D,H,1997-2011,NA,NA,,
William Keating,Massachusetts,D,H,2011-present,11-Jan,@USRepKeating,,
Joseph P. Kennedy III,Massachusetts,D,H,2013-Present,13-Jan,@RepJoeKennedy,,4071
Katherine Clark,Massachusetts,D ,H,2013-Present,14-Jan,@RepJoeKennedy,,3884
Seth Moulton,Massachusetts,D,H,2015-Present,11-Feb,@RepJoeKennedy,,9002
Bart Stupak,Michigan,D,H,1993-2011,NA,NA ,,
Peter Hoekstra,Michigan,R,H,1993-2011,8-Jul,@petehoekstra,,
Vern Ehlers,Michigan,R,H,1983-2011,NA,NA ,,
David Lee Camp,Michigan,R,H,1989-2015,NA,NA,,
Dale E. Kildee,Michigan,D,H,1965-2013,NA,NA,,5429
Fred Upton,Michigan,R,H,1987-Present,10-Mar,@RepFredUpton,,5330
